cell_line,FPN2-WS-0.7,FPN2-WS-0.9,MRCNN-0.7,MRCNN-0.9,Jacobkie-0.7,Jacobkie-0.9
MCF10A,0.9841409691629956,0.9647577092511013,0.9717514124293786,0.9465449804432855,0.9592367736339983,0.027753686036426712
HCT116,0.8720808644126874,0.13593586615545486,0.9045438534695315,0.4043677351179993,0.8533977233528803,0.07381855812349086
U2OS,0.974721941354904,0.9383215369059656,0.9719438877755511,0.9458917835671342,0.8377358490566038,0.2962264150943396
Eosinophils,0.46178343949044587,0.21019108280254778,0.8253968253968254,0.3888888888888889,0.2309197651663405,0
