cell_line,MRCNN-MCF10A,FPN2-WS-MCF10A,MRCNN-All,FPN2-WS-All,MRCNN-MCF10A_HCT116,MRCNN-MCF10A_HCT116_U2OS,FPN2-WS-MCF10A_HCT116,FPN2-WS-MCF10A_HCT116_U2OS
MCF10A,0.9715286903197548,0.9819462791721708,0.9677137870855148,0.9841409691629956,0.9718004338394793,0.9746059544658494,0.9775429326287979,0.986784140969163
HCT116,0.8771306818181818,0.851346624693949,0.8951641369572891,0.8720808644126874,0.8780311255881288,0.8680330816253147,0.8832167832167832,0.8571428571428571
U2OS,0.9708542713567839,0.9655870445344129,0.9397828232971372,0.974721941354904,0.93,0.9365558912386707,0.9421157684630739,0.9556451612903226
Eosinophils,0.6267605633802817,0.5833333333333334,0.796844181459566,0.46178343949044587,0.5306122448979592,0.5871886120996441,0.37359098228663445,0.3645320197044335
