cell_line,MRCNN-1X,FPN2-WS-1X,FPN2-WS-0.5X,MRCNN-0.25X,MRCNN-0.5X,MRCNN-0.75X,FPN2-WS-0.75X,FPN2-WS-0.25X
MCF10A,0.9677137870855148,0.9841409691629956,0.9841549295774648,0.9322709163346613,0.9610843900306077,0.9672632038411174,0.9793406593406594,0.9819303657999119
HCT116,0.8951641369572891,0.8720808644126874,0.8635077793493635,0.8683453237410071,0.8719229397074563,0.8955539872971066,0.8674955595026643,0.8508833922261484
U2OS,0.9397828232971372,0.974721941354904,0.9686552072800809,0.912,0.9314796425024826,0.9339901477832512,0.9686552072800809,0.9530469530469531
Eosinophils,0.796844181459566,0.46178343949044587,0.4529505582137161,0.7634194831013916,0.7786561264822134,0.7710371819960861,0.37777777777777777,0.34548335974643424
