cell_line,FPN2-WS-Testing-0.7,FPN2-WS-Testing-0.9,FPN2-WS-Training-0.7,FPN2-WS-Training-0.9,MRCNN-Testing-0.7,MRCNN-Testing-0.9,MRCNN-Training-0.7,MRCNN-Training-0.9
MCF10A,0.9841409691629956,0.9647577092511013,0.9994900560938297,0.9994900560938297,0.9717514124293786,0.9465449804432855,0.9819277108433735,0.9789156626506024
HCT116,0.8720808644126874,0.13593586615545486,0.9879443585780525,0.2707882534775889,0.9045438534695315,0.4043677351179993,0.9497998152140438,0.4970742223591007
U2OS,0.974721941354904,0.9383215369059656,0.9761417859577369,0.9652351738241309,0.9719438877755511,0.9458917835671342,0.9590878604963112,0.8933601609657947
Eosinophils,0.46178343949044587,0.21019108280254778,0.41228070175438597,0.30701754385964913,0.8253968253968254,0.3888888888888889,0.8796992481203008,0.48872180451127817
