cell_line,MRCNN-Full,FPN2-WS-Full,MRCNN-Min_Contr,MRCNN-Min_Blur,MRCNN-Min_Noise,MRCNN-Min_Scaling,MRCNN-None,FPN2-WS-None,FPN2-WS-Min_Contr,FPN2-WS-Min_Blur,FPN2-WS-Min_Noise,FPN2-WS-Min_Scaling
MCF10A,0.9677137870855148,0.9841409691629956,0.9640225400953619,0.9728308501314636,0.979395002192021,0.9754385964912281,0.9713292788879235,0.9810822701275846,0.9819303657999119,0.9832155477031802,0.9809818664307829,0.9814651368049426
HCT116,0.8951641369572891,0.8720808644126874,0.8864674868189807,0.8791606367583212,0.85451197053407,0.8830134009416878,0.9079409697821503,0.8267477203647416,0.8021717000339328,0.8577494692144374,0.8574438202247191,0.8752613240418119
U2OS,0.9397828232971372,0.974721941354904,0.966900702106319,0.9475806451612904,0.9606458123107972,0.9707955689828801,0.971830985915493,0.9623601220752798,0.9604863221884499,0.9696356275303644,0.9655172413793104,0.9528585757271816
Eosinophils,0.796844181459566,0.46178343949044587,0.7710371819960861,0.7490196078431373,0.7928994082840237,0.8202020202020202,0.8181818181818182,0.5261382799325464,0.5420875420875421,0.36932707355242567,0.3282208588957055,0.45499181669394434
