cell_line,MRCNN-1X,FPN2-WS-1X,FPN2-WS-2X,MRCNN-0.5X,MRCNN-2X,MRCNN-0.25X,MRCNN-0.125X,FPN2-WS-0.5X,FPN2-WS-0.25X,FPN2-WS-0.125X
MCF10A,0.9677137870855148,0.9841409691629956,0.9859154929577465,0.9665943600867679,0.9750765194578049,0.9683022145028224,0.9581716257007331,0.984506418769367,0.9628318584070796,0.9670039595248571
HCT116,0.8951641369572891,0.8720808644126874,0.8591352859135286,0.8833922261484098,0.9068454481298518,0.8353591160220994,0.7697974217311234,0.8623724040830694,0.8444602272727273,0.8132721496646664
U2OS,0.9397828232971372,0.974721941354904,0.9657258064516129,0.9380530973451328,0.9593657086223984,0.9393939393939394,0.8999008919722498,0.9655870445344129,0.9321175278622087,0.8784473953013279
Eosinophils,0.796844181459566,0.46178343949044587,0.444794952681388,0.781431334622824,0.6821705426356589,0.5971731448763251,0.5316901408450704,0.42601626016260163,0.3829787234042553,0.41008403361344536
