cell_line,aug,initialization,model,F1_mean,CI_95_lower,CI_95_upper
MCF10A,Full,Random,MRCNN,0.2443189980787322,0.09210171622336194,0.39653627993410245
MCF10A,Full,Random,FPN2-WS,0.9775156626877404,0.9673615838575584,0.9876697415179223
MCF10A,Full,Pre-initialized,MRCNN,0.9721971760960054,0.9661473652185998,0.9782469869734111
MCF10A,Full,Pre-initialized,FPN2-WS,0.9829810566455771,0.9800898259792068,0.9858722873119474
MCF10A,None,Random,MRCNN,0.8677234442291385,0.8617973713491461,0.8736495171091309
MCF10A,None,Random,FPN2-WS,0.9767965536188026,0.9748397195367681,0.9787533877008371
MCF10A,None,Pre-initialized,MRCNN,0.9696192621258694,0.9649901357408479,0.9742483885108908
MCF10A,None,Pre-initialized,FPN2-WS,0.9805221570382484,0.9780850057912427,0.9829593082852541
U2OS,Full,Random,MRCNN,0.12236603316385028,-0.0521213890081004,0.296853455335801
U2OS,Full,Random,FPN2-WS,0.963044987164155,0.9578789734269239,0.9682110009013861
U2OS,Full,Pre-initialized,MRCNN,0.9578092133980718,0.9379116435372576,0.9777067832588859
U2OS,Full,Pre-initialized,FPN2-WS,0.9698526536119206,0.961841773052126,0.9778635341717152
U2OS,None,Random,MRCNN,0.8855725838837744,0.8702482148893466,0.9008969528782022
U2OS,None,Random,FPN2-WS,0.9589520999763455,0.9455251376430523,0.9723790623096386
U2OS,None,Pre-initialized,MRCNN,0.9712383098480242,0.9660936657668286,0.9763829539292197
U2OS,None,Pre-initialized,FPN2-WS,0.9649562099395623,0.9615703002362709,0.9683421196428538
HCT116,Full,Random,MRCNN,0.20638386376803997,0.07155114119887082,0.3412165863372091
HCT116,Full,Random,FPN2-WS,0.8567367113473303,0.844683769717785,0.8687896529768756
HCT116,Full,Pre-initialized,MRCNN,0.8696201698549687,0.8394350238474525,0.8998053158624849
HCT116,Full,Pre-initialized,FPN2-WS,0.8706913092749892,0.8638256448110592,0.8775569737389192
HCT116,None,Random,MRCNN,0.6845005992352877,0.6655988437776645,0.7034023546929109
HCT116,None,Random,FPN2-WS,0.8232581665114125,0.7683926617881595,0.8781236712346655
HCT116,None,Pre-initialized,MRCNN,0.9071679882509548,0.9012317856122388,0.9131041908896708
HCT116,None,Pre-initialized,FPN2-WS,0.8381586045228366,0.8099041608241676,0.8664130482215057
Eosinophils,Full,Random,MRCNN,0.4181227124333067,0.3443469854501131,0.49189843941650024
Eosinophils,Full,Random,FPN2-WS,0.43337467835750265,0.3645860795947683,0.502163277120237
Eosinophils,Full,Pre-initialized,MRCNN,0.7538989389756228,0.7052298193680986,0.802568058583147
Eosinophils,Full,Pre-initialized,FPN2-WS,0.4161181012236526,0.35017895860047166,0.48205724384683357
Eosinophils,None,Random,MRCNN,0.8065197052976261,0.7927246767463519,0.8203147338489002
Eosinophils,None,Random,FPN2-WS,0.5354880222030204,0.5079318924250896,0.5630441519809511
Eosinophils,None,Pre-initialized,MRCNN,0.816888419250624,0.7939762892236517,0.8398005492775964
Eosinophils,None,Pre-initialized,FPN2-WS,0.525882996573656,0.513756414525087,0.538009578622225
