cell_line,FPN2-WS-Manual-0.7,FPN2-WS-Manual-0.9,FPN2-WS-Semi-Automated-0.7,FPN2-WS-Semi-Automated-0.9,MRCNN-Manual-0.7,MRCNN-Manual-0.9,MRCNN-Semi-Automated-0.7,MRCNN-Semi-Automated-0.9,Jacobkie-Manual-0.7,Jacobkie-Manual-0.9,Jacobkie-Semi-Automated-0.7,Jacobkie-Semi-Automated-0.9
MCF10A,0.9863496257155439,0.797886393659181,0.9841409691629956,0.9647577092511013,0.9695916594265855,0.741094700260643,0.9717514124293786,0.9465449804432855,0.9544863459037711,0.019939315127871695,0.9592367736339983,0.027753686036426712
HCT116,0.8703832752613241,0.03484320557491289,0.8720808644126874,0.13593586615545486,0.9007042253521127,0.17535211267605633,0.9045438534695315,0.4043677351179993,0.8544827586206897,0.11517241379310345,0.8533977233528803,0.07381855812349086
U2OS,0.9685279187817258,0.6761421319796954,0.974721941354904,0.9383215369059656,0.9637826961770624,0.7122736418511066,0.9719438877755511,0.9458917835671342,0.8503787878787878,0.3314393939393939,0.8377358490566038,0.2962264150943396
Eosinophils,0.41243862520458263,0.022913256955810146,0.46178343949044587,0.21019108280254778,0.8993839835728953,0.1971252566735113,0.8253968253968254,0.3888888888888889,0.19433198380566802,0.020242914979757085,0.2309197651663405,0
